tick,run,wholeUpdate,controlBehaviorUpdate,transportLinesUpdate,electricHeatFluidCircuitUpdate,electricNetworkUpdate,fluidFlowUpdate,entityUpdate,trains
10447,4,1272500,89900,101600,63100,49100,53800,990500,10800
10448,4,1359300,133600,111800,60300,50300,50900,1029000,10800
10449,4,988100,76800,103500,73000,52200,56500,706500,11000
10450,4,808400,107700,92800,72000,51800,63000,481900,10600
10451,4,1966600,104500,99300,64500,53200,56000,1667200,10900
10452,4,1242500,113100,100800,69300,51800,55400,926600,10800
10453,4,1084500,110800,102000,62900,52200,53300,776900,10800
10454,4,1479500,203700,93700,74600,51600,62200,1079800,10800
10455,4,2043300,86200,103800,71400,53300,61400,1754000,10800
10456,4,1422900,115000,130200,60200,50400,48300,1083400,11100
10457,4,1214000,83800,98400,69200,48600,59500,932800,10700
10458,4,1832500,99100,98500,89700,64100,59500,1508300,10700
10459,4,1154500,73000,110900,76000,53300,69000,829100,10700
10460,4,1051800,69200,101300,74100,53500,67400,757400,10900
10461,4,1032700,89900,94300,61900,51900,52100,760300,10500
10462,4,1202400,98400,108200,62200,52200,53200,881900,10800
10463,4,1746600,82000,95000,78500,53000,67600,1467000,10900
10464,4,1377100,94800,104600,78000,53500,65700,1077000,10700
10465,4,1259400,76000,98400,59200,49600,53000,1001900,10700
10466,4,978500,108900,98700,70100,52200,57500,674100,13000
10467,4,1162900,96300,109700,73000,52100,66300,860000,10900
10468,4,837000,85600,90200,65900,49000,55900,571200,10300
10469,4,1398700,82400,104000,75800,53200,64800,1106200,10600
10470,4,664000,85200,86200,76100,52900,65400,382800,10800
10471,4,1614000,82400,77100,58300,50700,48300,1364100,10700
10472,4,1135400,72000,85100,50600,47000,43700,890100,10600
10473,4,1201800,85300,97100,65200,50200,59000,917600,10800
10474,4,960900,120800,80600,68100,50700,56200,638000,10800
10475,4,842900,81800,81100,52100,45100,49300,599300,10900
10476,4,865500,83400,81900,62500,46700,51600,602600,11000
10477,4,1272600,90200,84900,62400,52500,52600,1008800,10800
10478,4,713100,137500,75100,70100,52100,58300,398200,10900
10479,4,1818800,88000,75500,63300,52900,51600,1530100,11000
10480,4,1111800,75900,82000,67100,49600,58100,844700,10600
10481,4,1137300,126000,76000,61500,51000,51500,847200,10500
10482,4,880300,95500,72400,67500,48600,56500,622200,10500
10483,4,1151600,104000,72400,59300,49200,48100,888800,11100
10484,4,688300,170600,77900,60300,50000,47000,352100,10800
10485,4,1424100,90900,78600,57300,47900,44700,1168600,11200
10486,4,984700,128900,71000,69800,51800,61100,669100,10500
10487,4,2009000,85900,78800,64500,52000,53700,1756600,10800
10488,4,1247300,78700,81000,57800,50600,55100,1007200,10700
10489,4,1333600,99100,75600,54900,49500,47900,1083400,10400
10490,4,1260900,101300,98000,60900,50500,51600,970800,10800
10491,4,968700,79800,79000,70500,49700,59500,708800,10800
10492,4,945000,195300,73800,64800,52400,55800,567400,10800
10493,4,1721600,80000,84700,55500,46900,48800,1459900,14000
10494,4,1516300,132300,109400,69300,51100,57700,1172300,12900
10495,4,2583400,99800,107700,69600,61800,55600,2275400,10900
10496,4,1830300,104900,107500,64400,52300,54900,1520300,10800
